2015-09-17 00:23:30,332 [myid:] - INFO  [main:QuorumPeerConfig@103] - Reading configuration from: /usr/local/zookeeper/bin/../conf/zoo.cfg
2015-09-17 00:23:30,339 [myid:] - WARN  [main:QuorumPeerConfig@296] - Non-optimial configuration, consider an odd number of servers.
2015-09-17 00:23:30,339 [myid:] - INFO  [main:QuorumPeerConfig@340] - Defaulting to majority quorums
2015-09-17 00:23:30,342 [myid:1] - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2015-09-17 00:23:30,343 [myid:1] - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2015-09-17 00:23:30,343 [myid:1] - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2015-09-17 00:23:30,352 [myid:1] - INFO  [main:QuorumPeerMain@127] - Starting quorum peer
2015-09-17 00:23:30,362 [myid:1] - INFO  [main:NIOServerCnxnFactory@94] - binding to port 0.0.0.0/0.0.0.0:2181
2015-09-17 00:23:30,380 [myid:1] - INFO  [main:QuorumPeer@959] - tickTime set to 2000
2015-09-17 00:23:30,380 [myid:1] - INFO  [main:QuorumPeer@979] - minSessionTimeout set to -1
2015-09-17 00:23:30,380 [myid:1] - INFO  [main:QuorumPeer@990] - maxSessionTimeout set to -1
2015-09-17 00:23:30,380 [myid:1] - INFO  [main:QuorumPeer@1005] - initLimit set to 10
2015-09-17 00:23:30,396 [myid:1] - INFO  [main:FileSnap@83] - Reading snapshot /var/lib/zookeeper/version-2/snapshot.0
2015-09-17 00:23:30,474 [myid:1] - INFO  [Thread-1:QuorumCnxManager$Listener@504] - My election bind port: ec2-54-183-55-185.us-west-1.compute.amazonaws.com/172.31.11.230:3888
2015-09-17 00:23:30,476 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /127.0.0.1:34287
2015-09-17 00:23:30,481 [myid:1] - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@362] - Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running
2015-09-17 00:23:30,484 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:QuorumPeer@714] - LOOKING
2015-09-17 00:23:30,488 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1007] - Closed socket connection for client /127.0.0.1:34287 (no session established for client)
2015-09-17 00:23:30,489 [myid:1] - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@815] - New election. My id =  1, proposed zxid=0x200000202
2015-09-17 00:23:30,491 [myid:1] - INFO  [WorkerReceiver[myid=1]:FastLeaderElection@597] - Notification: 1 (message format version), 1 (n.leader), 0x200000202 (n.zxid), 0x1 (n.round), LOOKING (n.state), 1 (n.sid), 0x2 (n.peerEpoch) LOOKING (my state)
2015-09-17 00:23:30,493 [myid:1] - INFO  [WorkerSender[myid=1]:QuorumCnxManager@193] - Have smaller server identifier, so dropping the connection: (2, 1)
