pin_id,pinner_id,description,board_id,board_name,source,likes_count,repins_count,comments_count,actions_count,pinned_from,repinned_via,originally_pinned_by,price,no_pins_on_board,explored,pinned_via,isrepin,pin_time,image_link,time_ago,originally_pinned_on,category,no_pins_board,no_followers_board,pinner_following,pinner_followers,pinner_pins,pinner_boards
7.8602E+16,sarahmgalloway, Rotisserie  Chicken  Crock Pot Style   GOODEness Gracious,board78602024685423267,recipes-and-food,http://goodenessgracious.com/2009/11/goode-goodness-rotisserie-chicken-crock-pot-style.html,0,0,0,0,goodenessgracious.com,None,None,None,181,0,pinmarklet,NO,None,http://media-cache-ec2.pinterest.com/upload/78601955967575961_zGa16fI2_c.jpg,Pinned 2 weeks ago via,None,,0,0,0,0,0,0
1.56219E+17,apndrgn,15  Sculptural Fire Spitting Dragon Rainspout Downspout Home Garden Statue,board156218749513399742,for-the-home,http://www.amazon.com/Sculptural-Spitting-Dragon-Rainspout-Downspout/dp/B004QMMQB4/?qid=1339083341&s=lawn-garden&ref=sr_1_20&ie=UTF8&sr=1-20,0,0,0,0,amazon.com,retrievrmama,hopeydopey77,None,396,0,None,YES,"Fri, 27 Jul 2012 23:46:54 GMT",http://media-cache-ec4.pinterest.com/upload/139822763401425371_0JyOIigt_c.jpg,Repinned 18 weeks ago,stuff-i-want,,0,0,0,0,0,0
2.73594E+17,jdecator,Cherry Cheesecake Dip   Mix Jello No Bake Cheesecake mix with one container of Cool Whip  Chill  Top with a can of cherry pie filling  Serve with graham crackers  Omg   ,board273593814801777556,dips,http://joyinthetruth.blogspot.com/2011/04/award-winning-serendipity-2011-recipes.html,0,0,0,0,joyinthetruth.blogspot.com,paigerene22,randiroo13,None,43,0,None,YES,"Tue, 31 Jul 2012 09:59:38 GMT",http://media-cache-ec4.pinterest.com/upload/152770612330003085_UbnAZL2Y_c.jpg,Repinned 2 weeks ago,it-s-my-party-i-ll-cry-if-i-want-to,,0,0,0,0,0,0
6.00246E+16,bobbielenn1,haaa,board60024676222533851,things-for-my-wall,http://cdn.ientry.com/sites/webpronews/pictures/meangirls.jpg,0,0,0,0,cdn.ientry.com,jennahall,wpickens,None,420,0,None,YES,"Mon, 20 Aug 2012 15:07:48 GMT",http://media-cache-lt0.pinterest.com/upload/19773685834846376_AhisenAG_c.jpg,Repinned 4 days ago,funnay-shtuff,,0,0,0,0,0,0
1.76415E+17,mep1822,I cant even express my obsession with him ,board176414579092365971,shoes-my-obsession,upload/59039445084940893_bibBlnhA.jpg,0,0,0,0,Uploaded by user,glorit,None,None,22,0,None,YES,"Thu, 16 Feb 2012 17:58:57 GMT",http://media-cache-ec6.pinterest.com/upload/59039445084940893_bibBlnhA_c.jpg,Repinned 34 weeks ago,None,,0,0,0,0,0,0
2.82531E+17,emilypeck,Homemade fruit rollups   Nothing but strawberries and cinnamon,board282530645312277698,recipes,http://thecopycatcook.wordpress.com/2011/06/03/fruit-rollups/,2,22,0,24,thecopycatcook.wordpress.com,michellemn,beth_lesley,None,293,0,None,YES,"Tue, 25 Oct 2011 02:26:41 GMT",http://media-cache0.pinterest.com/upload/42432421458665608_Y22fNFgX_c.jpg,Repinned 42 weeks ago,food-to-make-with-the-kids,,0,0,0,0,0,0
1.2216E+17,aeevacreations,window washing tips,board122160277331403019,cleaning-tips-tricks,http://chaoticallycreative.com/2012/03/16/washingwindowslikeapro/,4,30,0,34,chaoticallycreative.com,None,None,None,18,0,pinmarklet,NO,None,http://media-cache-lt0.pinterest.com/upload/122160208612546077_ZKr0NAuc_c.jpg,Pinned 27 weeks ago via,None,,0,0,0,0,0,0
1.29408E+17,erinpoworski,hm Mushroom Soup,board129408257981682903,recipes,http://blog.seasonwithspice.com/2011/12/cream-of-mushroom-soup-recipe.html,0,0,0,0,blog.seasonwithspice.com,brennab,mags4088,None,127,0,None,YES,"Fri, 20 Jan 2012 23:04:41 GMT",http://media-cache-ec3.pinterest.com/upload/138204282284693006_CbWq4Sgo_c.jpg,Repinned 31 weeks ago,recipes,,0,0,0,0,0,0
2.94846E+16,abaker587,Cain Caser,board29484641249395534,hang-it,http://www.dontpaniconline.com/magazine/arts/cain-caser,0,0,0,0,dontpaniconline.com,None,None,None,197,0,pinmarklet,NO,None,http://media-cache-lt0.pinterest.com/upload/29484572530382694_CWhPK2La_c.jpg,Pinned 34 weeks ago via,None,,0,0,0,0,0,0
1.79018E+17,duffan23,Matte nails  matte   nailart,board179018222626940899,makeup-ideas,/about/goodies/,0,0,0,0,Pinterest for iPhone,cindyw2012,jesssdm,None,341,0,None,YES,"Mon, 30 Jul 2012 20:45:06 GMT",http://media-cache-ec4.pinterest.com/upload/231513237064872220_lkIGbf4Q_c.jpg,Repinned 13 weeks ago,nail-art,,0,0,0,0,0,0
